Lat - Grid target (copy),IPHC Reg Area (group),Station,Purpose
37.835,2A,923,Standard Grid
37.835,2A,924,Standard Grid
37.835,2A,925,Standard Grid
38.002,2A,927,Standard Grid
38.168,2A,929,Standard Grid
38.168,2A,930,Standard Grid
38.335,2A,931,Standard Grid
38.335,2A,932,Standard Grid
38.335,2A,933,Standard Grid
38.501,2A,934,Standard Grid
38.502,2A,935,Standard Grid
38.668,2A,936,Standard Grid
38.668,2A,937,Standard Grid
38.835,2A,938,Standard Grid
39.001,2A,939,Standard Grid
39.168,2A,940,Standard Grid
39.168,2A,941,Standard Grid
39.335,2A,942,Standard Grid
39.501,2A,943,Standard Grid
39.668,2A,944,Standard Grid
39.834,2A,945,Standard Grid
40.168,2A,951,Standard Grid
40.335,2A,952,Standard Grid
40.501,2A,953,Standard Grid
40.668,2A,954,Standard Grid
40.834,2A,955,Standard Grid
41.001,2A,956,Standard Grid
41.001,2A,957,Standard Grid
41.167,2A,958,Standard Grid
41.334,2A,959,Standard Grid
41.334,2A,960,Standard Grid
41.5,2A,961,Standard Grid
41.5,2A,962,Standard Grid
41.667,2A,963,Standard Grid
41.667,2A,964,Standard Grid
41.834,2A,965,Standard Grid
42,2A,1001,Standard Grid
42.167,2A,1002,Standard Grid
42.333,2A,1601,Standard Grid
42.333,2A,1003,Standard Grid
42.5,2A,1602,Standard Grid
42.5,2A,1004,Standard Grid
42.667,2A,1005,Standard Grid
42.833,2A,1006,Standard Grid
42.833,2A,1007,Standard Grid
43,2A,1008,Standard Grid
43,2A,1009,Standard Grid
43.167,2A,1010,Standard Grid
43.333,2A,1101,Standard Grid
43.333,2A,1011,Standard Grid
43.5,2A,1012,Standard Grid
43.5,2A,1013,Standard Grid
43.667,2A,1014,Standard Grid
43.667,2A,1015,Standard Grid
43.833,2A,1102,Standard Grid
43.833,2A,1016,Standard Grid
43.833,2A,1017,Standard Grid
43.834,2A,1707,Standard Grid
44,2A,1103,Standard Grid
44,2A,1018,Standard Grid
44,2A,1019,Standard Grid
44,2A,1020,Standard Grid
44.167,2A,1021,Standard Grid
44.167,2A,1022,Standard Grid
44.167,2A,1023,Standard Grid
44.167,2A,1024,Standard Grid
44.333,2A,1025,Standard Grid
44.333,2A,1026,Standard Grid
44.333,2A,1027,Standard Grid
44.5,2A,1104,Standard Grid
44.5,2A,1028,Standard Grid
44.5,2A,1029,Standard Grid
44.5,2A,1105,Standard Grid
44.667,2A,1030,Standard Grid
44.667,2A,1031,Standard Grid
44.667,2A,1032,Standard Grid
44.667,2A,1033,Standard Grid
44.833,2A,1034,Standard Grid
44.833,2A,1035,Standard Grid
44.833,2A,1036,Standard Grid
45,2A,1037,Standard Grid
45,2A,1038,Standard Grid
45,2A,1039,Standard Grid
45.167,2A,1040,Standard Grid
45.167,2A,1041,Standard Grid
45.333,2A,1042,Standard Grid
45.333,2A,1043,Standard Grid
45.333,2A,1044,Standard Grid
45.5,2A,1045,Standard Grid
45.5,2A,1046,Standard Grid
45.5,2A,1047,Standard Grid
45.667,2A,1048,Standard Grid
45.667,2A,1049,Standard Grid
45.667,2A,1050,Standard Grid
45.833,2A,1051,Standard Grid
45.833,2A,1052,Standard Grid
45.833,2A,1053,Standard Grid
46,2A,1054,Standard Grid
46,2A,1055,Standard Grid
