"","CRUISEJOIN","HAULJOIN","CATCHJOIN","REGION","VESSEL","CRUISE","HAUL","SPECIES_CODE","LENGTH","FREQUENCY","SEX","SAMPLE_TYPE","LENGTH_TYPE","AUDITJOIN"
"1",265,25694,518056,"GOA",21,198403,145,310,690,1,2,1,1,1642133
"2",186,18718,433224,"GOA",1,198401,4,310,800,1,3,1,1,1439132
"3",186,18719,433238,"GOA",1,198401,5,310,780,1,3,1,1,2412029
"4",186,18720,433254,"GOA",1,198401,6,310,810,1,3,1,1,2412039
"5",186,18719,433238,"GOA",1,198401,5,310,810,1,3,1,1,1447461
"6",186,18719,433238,"GOA",1,198401,5,310,870,1,3,1,1,1447462
"7",186,18720,433254,"GOA",1,198401,6,310,770,1,3,1,1,1441232
"8",186,18732,433347,"GOA",1,198401,18,310,650,1,3,1,1,1451665
"9",186,18732,433347,"GOA",1,198401,18,310,730,1,3,1,1,2413069
"10",186,18740,433420,"GOA",1,198401,26,310,540,1,3,1,1,1455921
"11",186,18740,433420,"GOA",1,198401,26,310,590,1,3,1,1,1455922
"12",186,18740,433420,"GOA",1,198401,26,310,610,1,3,1,1,1455923
"13",186,18740,433420,"GOA",1,198401,26,310,700,2,3,1,1,1455924
"14",186,18740,433420,"GOA",1,198401,26,310,720,1,3,1,1,1455925
"15",186,18740,433420,"GOA",1,198401,26,310,740,1,3,1,1,1455926
"16",186,18740,433420,"GOA",1,198401,26,310,780,1,3,1,1,1455927
"17",186,18740,433420,"GOA",1,198401,26,310,650,1,3,1,1,2413112
"18",265,25552,516315,"GOA",21,198403,3,310,340,1,3,1,1,1624427
"19",265,25552,516315,"GOA",21,198403,3,310,360,1,3,1,1,1624428
"20",265,25552,516315,"GOA",21,198403,3,310,430,1,3,1,1,1624429
"21",265,25552,516315,"GOA",21,198403,3,310,350,1,3,1,1,2219648
"22",265,25552,516315,"GOA",21,198403,3,310,460,1,3,1,1,2437884
"23",265,25555,516329,"GOA",21,198403,6,310,700,1,3,1,1,2437897
"24",265,25558,516373,"GOA",21,198403,9,310,840,1,3,1,1,1625344
"25",265,25561,516405,"GOA",21,198403,12,310,680,1,3,1,1,1626305
"26",265,25570,516487,"GOA",21,198403,21,310,710,1,3,1,1,1627223
"27",265,25570,516487,"GOA",21,198403,21,310,690,1,3,1,1,1626379
"28",265,25574,516549,"GOA",21,198403,25,310,690,1,3,1,1,1626389
"29",265,25574,516549,"GOA",21,198403,25,310,700,1,3,1,1,1626390
"30",265,25572,516512,"GOA",21,198403,23,310,690,1,3,1,1,2440014
"31",265,25576,516583,"GOA",21,198403,27,310,820,1,3,1,1,1634603
"32",265,25580,516642,"GOA",21,198403,31,310,840,1,3,1,1,2220749
"33",265,25587,516727,"GOA",21,198403,38,310,700,1,3,1,1,2442086
"34",265,25589,516751,"GOA",21,198403,40,310,760,1,3,1,1,1627548
"35",265,25590,516768,"GOA",21,198403,41,310,620,1,3,1,1,1627609
"36",265,25590,516768,"GOA",21,198403,41,310,630,1,3,1,1,1627610
"37",265,25590,516768,"GOA",21,198403,41,310,710,1,3,1,1,1627611
"38",265,25590,516768,"GOA",21,198403,41,310,730,1,3,1,1,1627612
"39",265,25591,516782,"GOA",21,198403,42,310,600,2,3,1,1,1629391
"40",265,25591,516782,"GOA",21,198403,42,310,690,1,3,1,1,2443089
"41",265,25615,517118,"GOA",21,198403,66,310,700,1,3,1,1,1651047
"42",265,25618,517163,"GOA",21,198403,69,310,650,1,3,1,1,1638651
"43",265,25634,517357,"GOA",21,198403,85,310,750,1,3,1,1,1636639
"44",265,25675,517818,"GOA",21,198403,126,310,1060,1,3,1,1,2436901
"45",265,25676,517829,"GOA",21,198403,127,310,840,1,2,1,1,2436905
"46",265,25676,517829,"GOA",21,198403,127,310,760,1,1,1,1,1648189
"47",265,25677,517839,"GOA",21,198403,128,310,670,1,1,1,1,1649222
"48",265,25677,517839,"GOA",21,198403,128,310,740,1,1,1,1,1649223
"49",265,25677,517839,"GOA",21,198403,128,310,800,1,1,1,1,1649224
"50",265,25677,517839,"GOA",21,198403,128,310,690,1,2,1,1,1649225
"51",265,25677,517839,"GOA",21,198403,128,310,730,1,2,1,1,1649226
"52",265,25677,517839,"GOA",21,198403,128,310,750,1,2,1,1,1649227
"53",265,25677,517839,"GOA",21,198403,128,310,860,2,2,1,1,1649228
"54",265,25677,517839,"GOA",21,198403,128,310,750,1,1,1,1,2213471
"55",265,25680,517871,"GOA",21,198403,131,310,640,1,3,1,1,2213490
"56",265,25678,517850,"GOA",21,198403,129,310,610,1,2,1,1,1651293
"57",265,25680,517871,"GOA",21,198403,131,310,560,1,3,1,1,1652363
"58",265,25680,517871,"GOA",21,198403,131,310,600,1,3,1,1,1652364
"59",265,25680,517871,"GOA",21,198403,131,310,610,1,3,1,1,1652365
"60",265,25680,517871,"GOA",21,198403,131,310,750,1,3,1,1,1652366
"61",265,25680,517871,"GOA",21,198403,131,310,620,1,3,1,1,2436936
"62",265,25681,517885,"GOA",21,198403,132,310,670,1,3,1,1,2436949
"63",265,25681,517885,"GOA",21,198403,132,310,520,1,3,1,1,1637884
"64",265,25681,517885,"GOA",21,198403,132,310,540,1,3,1,1,1637885
"65",265,25681,517885,"GOA",21,198403,132,310,620,1,3,1,1,1637886
"66",265,25681,517885,"GOA",21,198403,132,310,640,2,3,1,1,1637887
"67",265,25681,517885,"GOA",21,198403,132,310,660,1,3,1,1,1637888
"68",265,25681,517885,"GOA",21,198403,132,310,740,1,3,1,1,1637889
"69",265,25683,517913,"GOA",21,198403,134,310,620,1,2,1,1,1641028
"70",265,25683,517913,"GOA",21,198403,134,310,700,1,2,1,1,1641029
"71",265,25683,517913,"GOA",21,198403,134,310,750,1,2,1,1,1641030
"72",265,25683,517913,"GOA",21,198403,134,310,600,1,2,1,1,2437949
"73",265,25684,517926,"GOA",21,198403,135,310,740,1,2,1,1,2437962
"74",265,25684,517926,"GOA",21,198403,135,310,720,1,1,1,1,1643090
"75",265,25684,517926,"GOA",21,198403,135,310,850,1,1,1,1,1643091
"76",265,25684,517926,"GOA",21,198403,135,310,880,1,1,1,1,1643092
"77",265,25684,517926,"GOA",21,198403,135,310,660,1,2,1,1,1643093
"78",265,25684,517926,"GOA",21,198403,135,310,720,1,2,1,1,1643094
"79",265,25684,517926,"GOA",21,198403,135,310,790,1,2,1,1,1643095
"80",265,25684,517926,"GOA",21,198403,135,310,800,1,2,1,1,1643096
"81",265,25684,517926,"GOA",21,198403,135,310,820,1,2,1,1,1643097
"82",265,25684,517926,"GOA",21,198403,135,310,840,1,2,1,1,1643098
"83",265,25684,517926,"GOA",21,198403,135,310,850,1,2,1,1,2213527
"84",265,25685,517941,"GOA",21,198403,136,310,540,1,1,1,1,1645179
"85",265,25685,517941,"GOA",21,198403,136,310,590,1,1,1,1,1645180
"86",265,25694,518056,"GOA",21,198403,145,310,580,1,1,1,1,2440023
"87",265,25694,518056,"GOA",21,198403,145,310,730,1,2,1,1,2440024
"88",265,25694,518056,"GOA",21,198403,145,310,570,1,1,1,1,1642125
"89",265,25694,518056,"GOA",21,198403,145,310,610,1,1,1,1,1642126
"90",265,25694,518056,"GOA",21,198403,145,310,670,2,1,1,1,1642127
"91",265,25694,518056,"GOA",21,198403,145,310,680,2,1,1,1,1642128
"92",265,25694,518056,"GOA",21,198403,145,310,610,2,2,1,1,1642129
"93",265,25694,518056,"GOA",21,198403,145,310,620,1,2,1,1,1642130
"94",265,25694,518056,"GOA",21,198403,145,310,640,1,2,1,1,1642131
"95",265,25694,518056,"GOA",21,198403,145,310,680,1,2,1,1,1642132
"96",265,25694,518056,"GOA",21,198403,145,310,710,1,2,1,1,1642134
"97",265,25694,518056,"GOA",21,198403,145,310,770,1,2,1,1,1642135
"98",265,25694,518056,"GOA",21,198403,145,310,780,1,2,1,1,1642136
"99",265,25697,518094,"GOA",21,198403,148,310,870,1,2,1,1,1645216
"100",265,25697,518094,"GOA",21,198403,148,310,950,1,2,1,1,1645217
"101",881074,881130,893898,"GOA",23,199601,205,310,890,1,2,1,1,3002628
"102",881074,881167,894194,"GOA",23,199601,190,310,720,1,2,1,1,3011747
"103",881074,881149,894064,"GOA",23,199601,198,310,530,1,3,1,1,3010665
"104",881074,881149,894064,"GOA",23,199601,198,310,840,1,3,1,1,3010666
"105",881074,881149,894064,"GOA",23,199601,198,310,1020,1,3,1,1,3010667
"106",881074,881150,894070,"GOA",23,199601,199,310,660,1,1,1,1,3054406
"107",881074,881152,894022,"GOA",23,199601,201,310,790,1,2,1,1,3005661
"108",881074,881152,894022,"GOA",23,199601,201,310,850,1,1,1,1,3005662
"109",881074,881152,894022,"GOA",23,199601,201,310,890,1,1,1,1,3005663
"110",881074,881154,893933,"GOA",23,199601,203,310,780,1,2,1,1,3017676
"111",881074,881154,893933,"GOA",23,199601,203,310,860,1,2,1,1,3017677
"112",881074,881130,893898,"GOA",23,199601,205,310,640,1,2,1,1,3002623
"113",881074,881130,893898,"GOA",23,199601,205,310,710,1,2,1,1,3002624
"114",881074,881130,893898,"GOA",23,199601,205,310,750,1,2,1,1,3002625
"115",881074,881130,893898,"GOA",23,199601,205,310,850,1,2,1,1,3002626
"116",881074,881130,893898,"GOA",23,199601,205,310,880,1,2,1,1,3002627
"117",881074,881135,893752,"GOA",23,199601,210,310,690,2,2,1,1,3008591
"118",881074,881131,893861,"GOA",23,199601,206,310,750,1,2,1,1,3015626
"119",881074,881131,893861,"GOA",23,199601,206,310,770,1,2,1,1,3015627
"120",881074,881135,893752,"GOA",23,199601,210,310,580,1,2,1,1,3009597
"121",881074,881135,893752,"GOA",23,199601,210,310,630,1,2,1,1,3009598
"122",881074,881135,893752,"GOA",23,199601,210,310,640,1,1,1,1,3009599
"123",881074,881135,893752,"GOA",23,199601,210,310,650,1,1,1,1,3008587
"124",881074,881135,893752,"GOA",23,199601,210,310,670,3,1,1,1,3008588
"125",881074,881135,893752,"GOA",23,199601,210,310,680,1,2,1,1,3008589
"126",881074,881135,893752,"GOA",23,199601,210,310,690,1,1,1,1,3008590
"127",881074,881135,893752,"GOA",23,199601,210,310,700,1,1,1,1,3008592
"128",881074,881135,893752,"GOA",23,199601,210,310,710,1,2,1,1,3008593
"129",881074,881135,893752,"GOA",23,199601,210,310,720,1,1,1,1,3008594
"130",881074,881135,893752,"GOA",23,199601,210,310,730,1,2,1,1,3008595
"131",881074,881135,893752,"GOA",23,199601,210,310,730,2,1,1,1,3008596
"132",881074,881135,893752,"GOA",23,199601,210,310,740,1,1,1,1,3008597
"133",881074,881135,893752,"GOA",23,199601,210,310,750,1,1,1,1,3008598
"134",881074,881135,893752,"GOA",23,199601,210,310,780,1,1,1,1,3008599
"135",881074,881135,893752,"GOA",23,199601,210,310,800,1,1,1,1,3008600
"136",881074,881135,893752,"GOA",23,199601,210,310,800,1,2,1,1,3008601
"137",881074,881135,893752,"GOA",23,199601,210,310,810,1,2,1,1,3008602
"138",881074,881135,893752,"GOA",23,199601,210,310,920,1,2,1,1,3008603
"139",881074,881137,893679,"GOA",23,199601,212,310,920,1,2,1,1,3002568
"140",881074,881115,892791,"GOA",23,199601,244,310,590,1,1,1,1,3014380
"141",881074,881117,893579,"GOA",23,199601,219,310,640,1,2,1,1,3013566
"142",881074,881126,893323,"GOA",23,199601,228,310,550,1,1,1,1,3012487
"143",881074,881126,893323,"GOA",23,199601,228,310,570,1,2,1,1,3012488
"144",881074,881114,892784,"GOA",23,199601,243,310,540,1,2,1,1,3014375
"145",881074,881114,892784,"GOA",23,199601,243,310,670,1,1,1,1,3014376
"146",881074,881114,892784,"GOA",23,199601,243,310,690,1,1,1,1,3014377
"147",881074,881115,892791,"GOA",23,199601,244,310,570,1,2,1,1,3014379
"148",881074,881115,892791,"GOA",23,199601,244,310,620,1,2,1,1,3014381
"149",881074,881098,892584,"GOA",23,199601,253,310,750,1,1,1,1,3014294
"150",881074,881098,892584,"GOA",23,199601,253,310,760,1,2,1,1,3014295
"151",881074,881101,892489,"GOA",23,199601,256,310,680,1,2,1,1,3007314
"152",881074,881090,892758,"GOA",23,199601,245,310,830,1,1,1,1,3011342
"153",881074,881090,892758,"GOA",23,199601,245,310,650,1,1,1,1,3010397
"154",881074,881090,892758,"GOA",23,199601,245,310,690,1,2,1,1,3010398
"155",881074,881090,892758,"GOA",23,199601,245,310,730,1,1,1,1,3010399
"156",881074,881095,892643,"GOA",23,199601,250,310,610,1,2,1,1,3004349
"157",881074,881098,892584,"GOA",23,199601,253,310,630,1,2,1,1,3013350
"158",881074,881098,892584,"GOA",23,199601,253,310,630,2,1,1,1,3013351
"159",881074,881098,892584,"GOA",23,199601,253,310,620,1,2,1,1,3015300
"160",978772,978789,979677,"GOA",23,199901,243,310,800,1,3,1,1,3406502
"161",881074,881077,892514,"GOA",23,199601,258,310,650,1,2,1,1,3003249
"162",881074,881082,892382,"GOA",23,199601,263,310,570,1,1,1,1,3010259
"163",881074,881089,892225,"GOA",23,199601,270,310,570,1,1,1,1,3011175
"164",881074,881089,892225,"GOA",23,199601,270,310,610,1,2,1,1,3011176
"165",881074,881602,892240,"GOA",23,199601,272,310,630,1,1,1,1,3009168
"166",881074,881602,892240,"GOA",23,199601,272,310,660,1,1,1,1,3009169
"167",881074,881602,892240,"GOA",23,199601,272,310,700,1,1,1,1,3009170
"168",881074,881602,892240,"GOA",23,199601,272,310,710,2,1,1,1,3009171
"169",978772,979025,983754,"GOA",23,199901,25,310,680,1,3,1,1,3423413
"170",978772,979025,983754,"GOA",23,199901,25,310,740,1,3,1,1,3423414
"171",978772,979025,983754,"GOA",23,199901,25,310,860,1,3,1,1,3423415
"172",978772,978980,982858,"GOA",23,199901,95,310,920,1,2,1,1,3424140
"173",978772,978893,979085,"GOA",23,199901,122,310,680,1,3,1,1,3434345
"174",978772,978904,984530,"GOA",23,199901,133,310,560,1,1,1,1,3394194
"175",978772,978782,985568,"GOA",23,199901,236,310,860,1,1,1,1,3438468
"176",978772,978783,984260,"GOA",23,199901,237,310,770,1,2,1,1,3403476
"177",978772,978783,984260,"GOA",23,199901,237,310,870,1,2,1,1,3430611
"178",978772,978785,979504,"GOA",23,199901,239,310,590,1,2,1,1,3406523
"179",978772,978785,979504,"GOA",23,199901,239,310,660,1,2,1,1,3406524
"180",978772,978785,979504,"GOA",23,199901,239,310,670,1,2,1,1,3406525
"181",978772,978789,979677,"GOA",23,199901,243,310,650,4,3,1,1,3406497
"182",978772,978789,979677,"GOA",23,199901,243,310,680,1,3,1,1,3406498
"183",978772,978789,979677,"GOA",23,199901,243,310,740,1,3,1,1,3406499
"184",978772,978789,979677,"GOA",23,199901,243,310,770,1,3,1,1,3406500
"185",978772,978789,979677,"GOA",23,199901,243,310,780,1,3,1,1,3406501
"186",978772,978787,979276,"GOA",23,199901,241,310,660,1,2,1,1,3434499
"187",978772,978787,979276,"GOA",23,199901,241,310,750,1,2,1,1,3434500
"188",978772,978789,979677,"GOA",23,199901,243,310,630,1,2,1,1,3406514
"189",978772,978789,979677,"GOA",23,199901,243,310,640,1,2,1,1,3406515
"190",978772,978789,979677,"GOA",23,199901,243,310,570,1,1,1,1,3406538
"191",978772,978789,979677,"GOA",23,199901,243,310,670,3,1,1,1,3406542
"192",978772,978789,979677,"GOA",23,199901,243,310,580,1,1,1,1,3406539
"193",978772,978789,979677,"GOA",23,199901,243,310,630,2,1,1,1,3406540
"194",978772,978789,979677,"GOA",23,199901,243,310,640,3,1,1,1,3406541
"195",978772,978789,979677,"GOA",23,199901,243,310,680,2,1,1,1,3406543
"196",978772,978789,979677,"GOA",23,199901,243,310,690,1,1,1,1,3406544
"197",978772,978789,979677,"GOA",23,199901,243,310,710,3,1,1,1,3406545
"198",978772,978789,979677,"GOA",23,199901,243,310,720,1,1,1,1,3406546
"199",978772,978789,979677,"GOA",23,199901,243,310,740,1,1,1,1,3406547
"200",978772,978789,979677,"GOA",23,199901,243,310,750,2,1,1,1,3406548
"201",978772,978789,979677,"GOA",23,199901,243,310,760,3,1,1,1,3406549
"202",978772,978789,979677,"GOA",23,199901,243,310,800,3,1,1,1,3406550
"203",978772,978789,979677,"GOA",23,199901,243,310,820,1,1,1,1,3406551
"204",978772,978789,979677,"GOA",23,199901,243,310,590,1,2,1,1,3406552
"205",978772,978789,979677,"GOA",23,199901,243,310,600,4,2,1,1,3406553
"206",978772,978789,979677,"GOA",23,199901,243,310,610,4,2,1,1,3406554
"207",978772,978789,979677,"GOA",23,199901,243,310,710,1,2,1,1,3401428
"208",978772,978789,979677,"GOA",23,199901,243,310,680,1,2,1,1,3401425
"209",978772,978789,979677,"GOA",23,199901,243,310,690,1,2,1,1,3401426
"210",978772,978789,979677,"GOA",23,199901,243,310,700,1,2,1,1,3401427
"211",978772,978789,979677,"GOA",23,199901,243,310,720,1,2,1,1,3401429
